
# Surface 0 of 1 surfaces

# Curve title: "(x**3)/3+log(x*y+2)+y**4-18"
# Contour 0, label:    0.003
9.0909091e-001 2.0124413e+000 3.0000000e-003 
7.0707071e-001 2.0199973e+000 3.0000000e-003 
5.7566019e-001 2.0240481e+000 3.0000000e-003 
5.0505051e-001 2.0261023e+000 3.0000000e-003 
3.0303030e-001 2.0313277e+000 3.0000000e-003 
1.0101010e-001 2.0365772e+000 3.0000000e-003 
-1.0101010e-001 2.0426496e+000 3.0000000e-003 
-3.0303030e-001 2.0506146e+000 3.0000000e-003 
-5.0505051e-001 2.0622388e+000 3.0000000e-003 
-5.2490847e-001 2.0641283e+000 3.0000000e-003 
-7.0707071e-001 2.0808504e+000 3.0000000e-003 
-7.9347793e-001 2.1042084e+000 3.0000000e-003 
-9.0106259e-001 2.1442886e+000 3.0000000e-003 
-9.0909091e-001 2.1550209e+000 3.0000000e-003 

-1.7171717e+000 -2.0590545e+000 3.0000000e-003 
-1.5151515e+000 -2.0459902e+000 3.0000000e-003 
-1.3131313e+000 -2.0366956e+000 3.0000000e-003 
-1.1111111e+000 -2.0307303e+000 3.0000000e-003 
-9.0909091e-001 -2.0276649e+000 3.0000000e-003 
-7.0707071e-001 -2.0270857e+000 3.0000000e-003 
-5.0505051e-001 -2.0286038e+000 3.0000000e-003 
-3.0303030e-001 -2.0318689e+000 3.0000000e-003 
-1.0101010e-001 -2.0365973e+000 3.0000000e-003 
1.0101010e-001 -2.0426295e+000 3.0000000e-003 
3.0303030e-001 -2.0500681e+000 3.0000000e-003 
5.0505051e-001 -2.0596861e+000 3.0000000e-003 
5.6580958e-001 -2.0641283e+000 3.0000000e-003 
7.0707071e-001 -2.0740924e+000 3.0000000e-003 
8.3650227e-001 -2.1042084e+000 3.0000000e-003 
9.0909091e-001 -2.1279360e+000 3.0000000e-003 

-1.0000000e+001 -4.3175463e+000 3.0000000e-003 
-9.9703884e+000 -4.3086172e+000 3.0000000e-003 
-9.8411248e+000 -4.2685371e+000 3.0000000e-003 
-9.7979798e+000 -4.2547774e+000 3.0000000e-003 
-9.7119686e+000 -4.2284569e+000 3.0000000e-003 
-9.5959596e+000 -4.1919337e+000 3.0000000e-003 
-9.5841751e+000 -4.1883768e+000 3.0000000e-003 
-9.4551389e+000 -4.1482966e+000 3.0000000e-003 
-9.3939394e+000 -4.1287288e+000 3.0000000e-003 
-9.3269611e+000 -4.1082164e+000 3.0000000e-003 
-9.1998598e+000 -4.0681363e+000 3.0000000e-003 
-9.1919192e+000 -4.0655572e+000 3.0000000e-003 
-9.0712582e+000 -4.0280561e+000 3.0000000e-003 
-8.9898990e+000 -4.0020046e+000 3.0000000e-003 
-8.9440695e+000 -3.9879760e+000 3.0000000e-003 
-8.8170178e+000 -3.9478958e+000 3.0000000e-003 
-8.7878788e+000 -3.9384196e+000 3.0000000e-003 
-8.6893356e+000 -3.9078156e+000 3.0000000e-003 
-8.5858586e+000 -3.8746765e+000 3.0000000e-003 
-8.5631384e+000 -3.8677355e+000 3.0000000e-003 
-8.4359547e+000 -3.8276553e+000 3.0000000e-003 
-8.3838384e+000 -3.8107082e+000 3.0000000e-003 
-8.3091780e+000 -3.7875752e+000 3.0000000e-003 
-8.1838582e+000 -3.7474950e+000 3.0000000e-003 
-8.1818182e+000 -3.7468213e+000 3.0000000e-003 
-8.0564334e+000 -3.7074148e+000 3.0000000e-003 
-7.9797980e+000 -3.6825368e+000 3.0000000e-003 
-7.9305296e+000 -3.6673347e+000 3.0000000e-003 
-7.8048176e+000 -3.6272545e+000 3.0000000e-003 
-7.7777778e+000 -3.6183435e+000 3.0000000e-003 
-7.6781395e+000 -3.5871743e+000 3.0000000e-003 
-7.5757576e+000 -3.5540572e+000 3.0000000e-003 
-7.5530485e+000 -3.5470942e+000 3.0000000e-003 
-7.4266798e+000 -3.5070140e+000 3.0000000e-003 
-7.3737374e+000 -3.4896378e+000 3.0000000e-003 
-7.3006524e+000 -3.4669339e+000 3.0000000e-003 
-7.1760221e+000 -3.4268537e+000 3.0000000e-003 
-7.1717172e+000 -3.4254199e+000 3.0000000e-003 
-7.0489299e+000 -3.3867735e+000 3.0000000e-003 
-6.9696970e+000 -3.3609363e+000 3.0000000e-003 
-6.9234019e+000 -3.3466934e+000 3.0000000e-003 
