
# Surface 0 of 1 surfaces

# Curve title: "x**4/4+x**3*y+y**2/2-4"

# Contour 0, label:    0.003
-1.2952318e+00 5.5511022e+00 3.0000000e-03 
-1.3003741e+00 5.5911824e+00 3.0000000e-03 
-1.3054974e+00 5.6312625e+00 3.0000000e-03 
-1.3106021e+00 5.6713427e+00 3.0000000e-03 
-1.3156888e+00 5.7114228e+00 3.0000000e-03 
-1.3207577e+00 5.7515030e+00 3.0000000e-03 
-1.3258092e+00 5.7915832e+00 3.0000000e-03 
-1.3308439e+00 5.8316633e+00 3.0000000e-03 
-1.3358619e+00 5.8717435e+00 3.0000000e-03 
-1.3408638e+00 5.9118236e+00 3.0000000e-03 
-1.3458498e+00 5.9519038e+00 3.0000000e-03 
-1.3508203e+00 5.9919840e+00 3.0000000e-03 
-1.3557757e+00 6.0320641e+00 3.0000000e-03 
-1.3567839e+00 6.0401973e+00 3.0000000e-03 
-1.3601950e+00 6.0721443e+00 3.0000000e-03 
-1.3644677e+00 6.1122244e+00 3.0000000e-03 
-1.3687277e+00 6.1523046e+00 3.0000000e-03 
-1.3729753e+00 6.1923848e+00 3.0000000e-03 
-1.3772107e+00 6.2324649e+00 3.0000000e-03 
-1.3814342e+00 6.2725451e+00 3.0000000e-03 
-1.3856461e+00 6.3126253e+00 3.0000000e-03 
-1.3898465e+00 6.3527054e+00 3.0000000e-03 
-1.3940357e+00 6.3927856e+00 3.0000000e-03 
-1.3982139e+00 6.4328657e+00 3.0000000e-03 
-1.4023814e+00 6.4729459e+00 3.0000000e-03 
-1.4065384e+00 6.5130261e+00 3.0000000e-03 
-1.4106850e+00 6.5531062e+00 3.0000000e-03 
-1.4148214e+00 6.5931864e+00 3.0000000e-03 
-1.4189480e+00 6.6332665e+00 3.0000000e-03 
-1.4230648e+00 6.6733467e+00 3.0000000e-03 
-1.4271720e+00 6.7134269e+00 3.0000000e-03 
-1.4312699e+00 6.7535070e+00 3.0000000e-03 
-1.4353586e+00 6.7935872e+00 3.0000000e-03 
-1.4394383e+00 6.8336673e+00 3.0000000e-03 
-1.4435091e+00 6.8737475e+00 3.0000000e-03 
-1.4475712e+00 6.9138277e+00 3.0000000e-03 
-1.4516249e+00 6.9539078e+00 3.0000000e-03 
-1.4556701e+00 6.9939880e+00 3.0000000e-03 
-1.4572864e+00 7.0099760e+00 3.0000000e-03 
-1.4594061e+00 7.0340681e+00 3.0000000e-03 
-1.4629338e+00 7.0741483e+00 3.0000000e-03 
-1.4664543e+00 7.1142285e+00 3.0000000e-03 
-1.4699679e+00 7.1543086e+00 3.0000000e-03 
-1.4734745e+00 7.1943888e+00 3.0000000e-03 
-1.4769744e+00 7.2344689e+00 3.0000000e-03 
-1.4804676e+00 7.2745491e+00 3.0000000e-03 
-1.4839543e+00 7.3146293e+00 3.0000000e-03 
-1.4874345e+00 7.3547094e+00 3.0000000e-03 
-1.4909085e+00 7.3947896e+00 3.0000000e-03 
-1.4943763e+00 7.4348697e+00 3.0000000e-03 
-1.4978380e+00 7.4749499e+00 3.0000000e-03 
-1.5012937e+00 7.5150301e+00 3.0000000e-03 
-1.5047435e+00 7.5551102e+00 3.0000000e-03 
-1.5081875e+00 7.5951904e+00 3.0000000e-03 
-1.5116258e+00 7.6352705e+00 3.0000000e-03 
-1.5150586e+00 7.6753507e+00 3.0000000e-03 
-1.5184859e+00 7.7154309e+00 3.0000000e-03 
-1.5219077e+00 7.7555110e+00 3.0000000e-03 
-1.5253243e+00 7.7955912e+00 3.0000000e-03 
-1.5287356e+00 7.8356713e+00 3.0000000e-03 
-1.5321417e+00 7.8757515e+00 3.0000000e-03 
-1.5355428e+00 7.9158317e+00 3.0000000e-03 
-1.5389390e+00 7.9559118e+00 3.0000000e-03 
-1.5423302e+00 7.9959920e+00 3.0000000e-03 
-1.5457166e+00 8.0360721e+00 3.0000000e-03 
-1.5490983e+00 8.0761523e+00 3.0000000e-03 
-1.5524753e+00 8.1162325e+00 3.0000000e-03 
-1.5558477e+00 8.1563126e+00 3.0000000e-03 
-1.5577889e+00 8.1793641e+00 3.0000000e-03 
-1.5590483e+00 8.1963928e+00 3.0000000e-03 
-1.5620174e+00 8.2364729e+00 3.0000000e-03 
-1.5649825e+00 8.2765531e+00 3.0000000e-03 
-1.5679436e+00 8.3166333e+00 3.0000000e-03 
-1.5709009e+00 8.3567134e+00 3.0000000e-03 
-1.5738544e+00 8.3967936e+00 3.0000000e-03 
-1.5768040e+00 8.4368737e+00 3.0000000e-03 
-1.5797500e+00 8.4769539e+00 3.0000000e-03 
-1.5826923e+00 8.5170341e+00 3.0000000e-03 
-1.5856310e+00 8.5571142e+00 3.0000000e-03 
-1.5885662e+00 8.5971944e+00 3.0000000e-03 

1.0552764e+00 1.7857253e+00 3.0000000e-03 
1.0380261e+00 1.8236473e+00 3.0000000e-03 
1.0201999e+00 1.8637275e+00 3.0000000e-03 
1.0027752e+00 1.9038076e+00 3.0000000e-03 
9.8573099e-01 1.9438878e+00 3.0000000e-03 
9.6904741e-01 1.9839679e+00 3.0000000e-03 
9.5477387e-01 2.0189002e+00 3.0000000e-03 
9.5218489e-01 2.0240481e+00 3.0000000e-03 
9.3213697e-01 2.0641283e+00 3.0000000e-03 
9.1248519e-01 2.1042084e+00 3.0000000e-03 
8.9321007e-01 2.1442886e+00 3.0000000e-03 
8.7429341e-01 2.1843687e+00 3.0000000e-03 
8.5571814e-01 2.2244489e+00 3.0000000e-03 
8.5427136e-01 2.2275806e+00 3.0000000e-03 
8.3273023e-01 2.2645291e+00 3.0000000e-03 
8.0974132e-01 2.3046092e+00 3.0000000e-03 
7.8714100e-01 2.3446894e+00 3.0000000e-03 
7.6491166e-01 2.3847695e+00 3.0000000e-03 
7.5376884e-01 2.4050357e+00 3.0000000e-03 
7.3958106e-01 2.4248497e+00 3.0000000e-03 
7.1111829e-01 2.4649299e+00 3.0000000e-03 
6.8309399e-01 2.5050100e+00 3.0000000e-03 
6.5548918e-01 2.5450902e+00 3.0000000e-03 
6.5326633e-01 2.5483225e+00 3.0000000e-03 
6.1887932e-01 2.5851703e+00 3.0000000e-03 
5.8197398e-01 2.6252505e+00 3.0000000e-03 
5.5276382e-01 2.6573366e+00 3.0000000e-03 
5.4231979e-01 2.6653307e+00 3.0000000e-03 
4.9009664e-01 2.7054108e+00 3.0000000e-03 
4.5226131e-01 2.7347410e+00 3.0000000e-03 
4.3068558e-01 2.7454910e+00 3.0000000e-03 
3.5175879e-01 2.7849404e+00 3.0000000e-03 
3.4952988e-01 2.7855711e+00 3.0000000e-03 
2.5125628e-01 2.8132575e+00 3.0000000e-03 
1.5364879e-01 2.8256513e+00 3.0000000e-03 
1.5075377e-01 2.8260153e+00 3.0000000e-03 
5.0251256e-02 2.8293364e+00 3.0000000e-03 
-5.0251256e-02 2.8295888e+00 3.0000000e-03 
-1.5075377e-01 2.8328284e+00 3.0000000e-03 
-2.5125628e-01 2.8449708e+00 3.0000000e-03 
-3.2849601e-01 2.8657315e+00 3.0000000e-03 
-3.5175879e-01 2.8719568e+00 3.0000000e-03 
-4.2302537e-01 2.9058116e+00 3.0000000e-03 
-4.5226131e-01 2.9197436e+00 3.0000000e-03 
-4.8735760e-01 2.9458918e+00 3.0000000e-03 
-5.4063916e-01 2.9859719e+00 3.0000000e-03 
-5.5276382e-01 2.9951235e+00 3.0000000e-03 
-5.8118047e-01 3.0260521e+00 3.0000000e-03 
-6.1760539e-01 3.0661323e+00 3.0000000e-03 
-6.5326633e-01 3.1059132e+00 3.0000000e-03 
-6.5346303e-01 3.1062124e+00 3.0000000e-03 
-6.7981988e-01 3.1462926e+00 3.0000000e-03 
-7.0582679e-01 3.1863727e+00 3.0000000e-03 
